student_id,grade_10_marks,interest_math,interest_bio,interest_econ,coding,drawing,sports,family_background,stream,profession
91,74,0,1,1,0,1,0,Teacher,Commerce,Accountant
92,52,0,0,0,1,1,1,Business,Commerce,Accountant
93,93,0,0,1,1,0,0,Doctor,Commerce,CA
94,76,1,0,0,1,1,1,Teacher,Arts,Historian
95,52,0,1,0,0,0,1,Artist,Arts,Psychologist
96,99,0,0,0,0,1,1,Doctor,Arts,Historian
97,74,0,1,0,1,0,1,Teacher,Arts,Psychologist
98,86,0,1,1,0,0,1,Teacher,Commerce,Business Analyst
99,85,0,0,1,1,1,1,Teacher,Commerce,Banker
100,99,0,0,1,0,0,1,Doctor,Commerce,Banker
101,50,0,1,1,0,0,0,Artist,Commerce,Accountant
102,90,0,1,0,0,1,0,Doctor,Arts,Historian
103,54,0,0,1,0,1,0,Artist,Commerce,Business Analyst
104,68,1,0,1,1,1,0,Engineer,Commerce,Accountant
105,64,0,0,1,0,0,1,Doctor,Commerce,CA
106,57,0,1,1,1,1,1,Doctor,Commerce,Accountant
107,80,0,0,0,0,0,0,Doctor,Commerce,Accountant
108,89,0,0,0,1,0,0,Teacher,Arts,Designer
109,89,0,0,1,0,1,0,Engineer,Commerce,CA
110,92,0,1,1,1,0,0,Doctor,Commerce,Accountant
111,59,1,0,0,0,0,1,Artist,Arts,Historian
112,92,0,0,0,0,0,0,Business,Commerce,Accountant
113,75,1,1,0,1,0,0,Teacher,Commerce,Business Analyst
114,54,0,1,0,0,1,1,Artist,Arts,Historian
115,53,0,1,0,0,1,1,Business,Commerce,Accountant
116,79,0,0,0,0,0,0,Artist,Science,Data Scientist
117,63,0,1,1,1,1,1,Artist,Commerce,Business Analyst
118,80,0,0,0,1,1,1,Engineer,Arts,Journalist
119,94,0,0,0,1,1,0,Teacher,Arts,Historian
120,50,1,1,1,1,0,1,Business,Commerce,Business Analyst
121,89,1,1,0,0,0,0,Engineer,Science,Software Engineer
122,92,1,1,1,1,0,1,Teacher,Science,Software Engineer
123,58,1,1,1,0,1,0,Teacher,Commerce,Accountant
124,70,1,0,0,1,1,1,Artist,Arts,Psychologist
125,73,1,1,0,1,1,0,Business,Commerce,CA
126,81,1,0,1,0,1,1,Business,Commerce,Accountant
127,51,1,0,1,0,1,0,Doctor,Commerce,CA
128,85,0,0,1,1,0,1,Teacher,Commerce,Banker
129,95,1,0,0,1,1,1,Business,Commerce,CA
130,65,0,1,1,0,0,0,Teacher,Commerce,Banker
131,56,0,1,1,1,0,0,Teacher,Commerce,Banker
132,62,0,0,1,1,0,1,Artist,Commerce,Business Analyst
133,50,0,1,0,1,0,0,Artist,Arts,Historian
134,59,0,0,0,1,0,0,Doctor,Commerce,CA
135,62,1,1,1,1,1,0,Business,Commerce,Banker
136,93,1,0,1,0,1,0,Teacher,Commerce,Banker
137,68,1,1,0,0,0,0,Artist,Arts,Psychologist
138,68,0,1,0,1,1,0,Engineer,Arts,Psychologist
139,76,1,0,0,1,1,1,Artist,Arts,Psychologist
140,93,0,1,0,1,0,1,Engineer,Arts,Psychologist
141,54,0,1,0,0,1,0,Teacher,Arts,Historian
142,86,0,1,1,1,1,1,Business,Commerce,Accountant
143,76,0,1,0,0,0,0,Doctor,Commerce,Accountant
144,67,0,0,1,0,0,0,Engineer,Commerce,Business Analyst
145,51,0,0,0,0,0,0,Artist,Arts,Historian
146,81,1,0,1,0,0,1,Engineer,Commerce,Accountant
147,84,1,1,0,0,0,1,Business,Commerce,Business Analyst
148,53,0,1,1,1,1,0,Business,Commerce,Accountant
149,53,1,1,0,0,0,0,Teacher,Science,Pharmacist
150,52,0,1,1,1,0,1,Artist,Commerce,Banker
151,63,0,1,0,1,0,0,Teacher,Science,Doctor
152,92,1,1,0,0,1,1,Artist,Science,Pharmacist
153,65,1,0,0,1,0,1,Engineer,Arts,Psychologist
154,91,0,0,0,1,1,0,Teacher,Arts,Journalist
155,92,0,1,1,1,0,0,Doctor,Commerce,Accountant
156,89,0,0,0,0,1,0,Teacher,Arts,Psychologist
157,65,1,0,1,1,0,1,Teacher,Commerce,Business Analyst
158,77,1,1,1,1,1,1,Engineer,Commerce,Banker
159,58,0,1,1,1,0,0,Doctor,Commerce,Accountant
160,90,1,0,0,1,0,1,Doctor,Arts,Designer
161,78,1,1,1,1,1,0,Business,Commerce,CA
162,55,1,1,0,1,0,1,Business,Commerce,CA
163,77,0,0,0,1,0,1,Artist,Arts,Psychologist
164,64,0,1,0,0,1,1,Teacher,Arts,Designer
165,97,0,0,0,0,0,1,Engineer,Arts,Designer
166,94,1,0,1,0,0,1,Teacher,Commerce,Banker
167,58,1,0,0,1,0,1,Teacher,Arts,Journalist
168,82,0,0,0,0,0,0,Business,Commerce,Banker
169,93,0,0,0,1,1,0,Doctor,Arts,Psychologist
170,72,1,0,1,0,1,1,Artist,Commerce,CA
171,60,0,0,0,0,0,0,Teacher,Science,Data Scientist
172,81,0,0,1,0,0,0,Doctor,Commerce,CA
173,78,1,1,0,0,1,0,Teacher,Arts,Designer
174,81,1,1,0,0,0,1,Teacher,Arts,Designer
175,52,0,1,0,0,0,1,Teacher,Arts,Journalist
176,82,1,1,1,0,0,0,Business,Commerce,Accountant
177,64,1,0,0,0,0,0,Teacher,Commerce,Banker
178,78,0,1,0,1,1,0,Artist,Arts,Historian
179,97,1,1,0,0,0,0,Teacher,Science,Pharmacist
180,98,1,1,0,1,1,1,Doctor,Science,Data Scientist
181,59,0,0,0,1,1,0,Artist,Arts,Historian
182,56,1,0,0,1,1,0,Teacher,Arts,Designer
183,87,0,1,1,0,1,0,Artist,Commerce,Accountant
184,79,0,1,1,0,1,0,Business,Commerce,Accountant
185,73,1,0,1,1,0,1,Artist,Commerce,Business Analyst
186,54,0,0,1,1,0,1,Doctor,Commerce,Banker
187,68,1,0,0,1,0,0,Artist,Commerce,Accountant
188,79,0,0,1,0,0,0,Business,Commerce,Business Analyst
189,98,0,0,0,0,1,0,Business,Commerce,Accountant
190,64,1,0,0,0,0,0,Artist,Arts,Journalist
191,76,1,1,1,1,1,0,Engineer,Commerce,Business Analyst
192,78,0,0,1,1,0,0,Artist,Commerce,Banker
193,90,1,1,0,1,0,1,Business,Science,Doctor
194,99,0,1,1,0,1,0,Teacher,Commerce,Banker
195,53,0,0,1,1,0,1,Doctor,Commerce,Business Analyst
196,67,1,0,0,0,1,1,Artist,Arts,Psychologist
197,72,1,1,1,1,0,1,Doctor,Commerce,Business Analyst
198,73,0,0,1,0,1,1,Business,Commerce,Business Analyst
199,98,0,1,0,1,1,1,Doctor,Arts,Psychologist
200,57,1,1,0,1,1,1,Doctor,Arts,Journalist
201,70,1,1,0,0,1,1,Doctor,Arts,Designer
202,59,0,0,1,0,1,1,Engineer,Commerce,Accountant
203,86,1,0,0,1,0,1,Artist,Arts,Designer
204,60,1,1,1,0,1,0,Teacher,Commerce,Accountant
205,78,0,0,0,1,0,1,Artist,Arts,Journalist
206,73,0,1,1,0,1,0,Teacher,Commerce,Banker
207,66,0,1,1,1,1,0,Artist,Commerce,Banker
208,82,1,0,0,0,0,0,Artist,Science,Data Scientist
209,57,1,0,1,0,0,0,Artist,Commerce,Business Analyst
210,81,0,1,0,0,1,0,Teacher,Arts,Psychologist
211,55,1,1,0,0,1,1,Engineer,Arts,Historian
212,88,0,1,1,1,1,0,Artist,Commerce,Accountant
213,70,0,1,0,1,0,0,Teacher,Commerce,CA
214,98,1,0,1,1,0,1,Doctor,Commerce,CA
215,60,1,0,1,1,0,0,Engineer,Commerce,CA
216,72,0,1,1,1,1,0,Business,Commerce,Accountant
217,59,0,1,0,0,0,0,Engineer,Arts,Psychologist
218,66,1,0,1,1,0,1,Artist,Commerce,Accountant
219,85,1,0,0,0,0,1,Business,Commerce,Banker
220,59,1,1,1,1,0,1,Teacher,Commerce,Banker
221,78,1,1,0,1,0,0,Doctor,Arts,Journalist
222,59,0,1,1,0,0,1,Doctor,Commerce,Banker
223,92,1,1,1,1,0,1,Artist,Science,Data Scientist
224,92,1,1,0,1,0,0,Business,Science,Doctor
225,85,1,1,0,1,1,1,Artist,Science,Pharmacist
226,65,1,0,1,0,1,1,Doctor,Commerce,CA
227,53,0,1,0,0,1,0,Business,Commerce,Banker
228,65,1,0,1,1,0,0,Artist,Commerce,Banker
229,70,0,0,0,1,0,0,Artist,Science,Doctor
230,81,1,0,0,1,0,0,Teacher,Arts,Psychologist
231,85,0,1,0,1,1,1,Engineer,Arts,Journalist
232,54,1,0,1,1,1,0,Doctor,Commerce,CA
233,53,0,0,0,1,0,1,Artist,Arts,Psychologist
234,65,1,0,1,0,0,1,Doctor,Commerce,Business Analyst
235,55,1,0,0,1,1,0,Artist,Arts,Designer
236,96,0,0,0,1,0,1,Doctor,Arts,Historian
237,89,0,1,1,1,0,1,Artist,Commerce,Business Analyst
238,84,1,1,1,1,0,1,Teacher,Commerce,Banker
239,65,0,0,0,1,0,0,Artist,Commerce,Banker
240,98,0,0,0,1,0,1,Teacher,Arts,Designer
241,80,0,1,0,0,0,0,Artist,Science,Doctor
242,53,1,1,1,1,0,0,Engineer,Commerce,Business Analyst
243,55,0,1,0,0,0,0,Business,Commerce,CA
244,73,0,0,0,1,0,0,Engineer,Commerce,Banker
245,68,0,0,1,1,1,0,Business,Commerce,Banker
246,56,0,0,0,1,1,1,Business,Commerce,Banker
247,80,1,1,0,1,0,1,Business,Commerce,Accountant
248,75,0,1,1,1,1,0,Artist,Commerce,Accountant
249,78,1,1,1,0,1,1,Business,Commerce,Business Analyst
250,84,0,1,0,0,1,0,Teacher,Arts,Psychologist
251,75,1,0,1,0,0,0,Business,Commerce,Banker
252,83,0,1,1,1,0,1,Business,Commerce,CA
253,65,0,0,1,1,0,1,Artist,Commerce,Accountant
254,69,1,1,0,1,0,1,Artist,Arts,Journalist
255,70,1,0,1,0,1,1,Artist,Commerce,Business Analyst
256,56,0,0,0,0,1,0,Doctor,Arts,Journalist
257,74,1,0,0,0,1,0,Artist,Arts,Historian
258,55,1,0,1,0,0,0,Engineer,Commerce,Accountant
259,78,1,1,1,1,0,0,Doctor,Commerce,Banker
260,54,1,1,1,1,0,0,Doctor,Commerce,Banker
261,99,1,1,1,1,0,1,Business,Science,Data Scientist
262,64,0,0,0,0,0,0,Business,Commerce,CA
263,84,1,0,1,1,1,1,Business,Commerce,CA
264,67,1,1,1,0,1,1,Business,Commerce,CA
265,97,1,0,1,0,0,1,Artist,Commerce,Business Analyst
266,80,0,1,1,1,0,1,Doctor,Commerce,Accountant
267,68,0,1,0,1,1,0,Doctor,Arts,Psychologist
268,97,0,0,1,1,1,1,Business,Commerce,Accountant
269,60,0,0,1,0,0,1,Doctor,Commerce,Business Analyst
270,97,1,0,1,0,0,0,Artist,Commerce,Accountant
271,94,0,1,0,1,0,0,Engineer,Science,Pharmacist
272,65,0,0,1,1,0,0,Teacher,Commerce,Accountant
273,61,0,1,1,0,1,0,Engineer,Commerce,CA
274,70,1,1,1,1,1,1,Teacher,Commerce,Accountant
275,54,0,0,1,1,1,0,Engineer,Commerce,Banker
276,89,1,1,1,0,0,0,Teacher,Science,Doctor
277,91,0,1,1,1,0,0,Engineer,Commerce,CA
278,61,0,1,1,1,0,0,Business,Commerce,Business Analyst
279,65,0,0,0,0,1,0,Doctor,Arts,Journalist
280,67,1,0,1,1,0,1,Artist,Commerce,Business Analyst
281,72,0,0,0,0,1,1,Doctor,Arts,Psychologist
282,76,1,0,0,1,1,1,Engineer,Arts,Designer
283,58,1,0,1,0,0,0,Business,Commerce,Banker
284,65,1,1,0,1,1,0,Artist,Arts,Historian
285,96,1,1,1,0,1,0,Teacher,Science,Data Scientist
286,94,1,1,0,0,1,1,Teacher,Science,Pharmacist
287,73,0,0,1,0,0,1,Doctor,Commerce,Business Analyst
288,92,1,1,0,0,1,0,Teacher,Science,Pharmacist
289,75,0,0,0,1,0,1,Teacher,Arts,Historian
290,93,1,0,1,1,0,1,Teacher,Commerce,Banker
291,65,0,1,0,1,1,0,Business,Commerce,CA
292,61,1,1,0,0,0,0,Teacher,Science,Software Engineer
293,78,1,0,0,0,1,1,Artist,Arts,Journalist
294,74,1,1,1,1,0,0,Business,Commerce,CA
295,53,1,1,1,0,1,0,Business,Commerce,Business Analyst
296,63,0,1,0,0,0,1,Business,Commerce,Accountant
297,80,1,0,0,1,0,1,Engineer,Arts,Psychologist
298,79,1,1,0,0,1,0,Business,Commerce,Banker
299,88,1,0,1,0,0,1,Artist,Commerce,Accountant
300,72,1,0,1,0,1,1,Artist,Commerce,CA
301,93,1,1,0,0,1,0,Business,Science,Software Engineer
302,95,0,0,1,1,0,0,Artist,Commerce,Banker
303,85,0,0,1,0,1,1,Teacher,Commerce,Business Analyst
304,89,0,0,1,1,0,0,Engineer,Commerce,Banker
305,91,0,0,0,1,1,0,Doctor,Arts,Historian
306,78,1,1,0,0,0,1,Teacher,Arts,Historian
307,72,1,1,0,0,1,0,Artist,Arts,Psychologist
308,93,0,0,0,0,1,1,Doctor,Arts,Historian
309,57,1,0,1,0,0,1,Artist,Commerce,Business Analyst
310,54,1,1,1,1,1,0,Business,Commerce,Accountant
311,55,0,1,1,1,0,0,Artist,Commerce,Business Analyst
312,54,0,1,1,0,0,0,Teacher,Commerce,Banker
313,60,0,1,0,1,1,1,Business,Commerce,Banker
314,77,1,0,0,1,1,0,Artist,Arts,Psychologist
315,76,1,0,0,1,0,0,Engineer,Science,Doctor
316,94,0,1,0,1,0,1,Business,Commerce,Accountant
317,95,0,1,1,1,1,1,Artist,Commerce,CA
318,50,1,1,0,0,1,0,Business,Commerce,CA
319,62,0,1,1,0,0,1,Doctor,Commerce,Banker
320,84,1,0,1,1,0,0,Engineer,Commerce,Business Analyst
321,94,0,1,0,1,0,1,Engineer,Arts,Designer
322,79,0,0,0,0,0,1,Doctor,Arts,Designer
323,55,0,0,1,1,1,1,Business,Commerce,Banker
324,69,0,1,1,0,0,1,Doctor,Commerce,CA
325,75,1,0,1,0,0,0,Engineer,Commerce,Business Analyst
326,78,1,0,0,1,0,1,Engineer,Arts,Psychologist
327,64,1,0,0,1,0,0,Engineer,Commerce,Business Analyst
328,57,0,0,1,1,1,1,Business,Commerce,CA
329,89,0,1,0,0,1,0,Business,Commerce,CA
330,50,1,1,1,1,0,0,Business,Commerce,CA
331,56,0,0,0,1,0,0,Engineer,Commerce,Accountant
332,80,1,1,1,1,0,0,Doctor,Commerce,Accountant
333,55,0,0,0,1,1,1,Business,Commerce,CA
334,66,0,0,1,0,1,0,Engineer,Commerce,CA
335,91,0,0,1,1,0,0,Doctor,Commerce,Business Analyst
336,70,1,0,1,0,0,0,Business,Commerce,CA
337,61,1,0,0,0,1,0,Engineer,Arts,Designer
338,75,1,1,1,0,0,1,Doctor,Commerce,CA
339,70,0,0,1,0,0,0,Artist,Commerce,Business Analyst
340,84,0,0,0,0,0,1,Engineer,Arts,Psychologist
341,96,1,0,1,1,0,1,Artist,Commerce,Accountant
342,83,1,0,1,1,0,1,Teacher,Commerce,Business Analyst
343,79,1,0,1,0,1,1,Artist,Commerce,CA
344,65,1,0,1,0,1,0,Business,Commerce,Banker
345,93,1,0,0,0,0,1,Doctor,Arts,Designer
346,98,0,0,1,1,1,1,Teacher,Commerce,Accountant
347,64,1,0,1,0,0,0,Business,Commerce,CA
348,90,0,1,0,0,0,0,Business,Commerce,Business Analyst
349,92,0,0,0,1,1,0,Business,Commerce,Accountant
350,54,0,0,0,1,1,0,Doctor,Arts,Designer
351,79,1,0,1,1,0,1,Doctor,Commerce,CA
352,70,1,0,0,1,1,0,Business,Commerce,Accountant
353,58,1,1,1,1,0,0,Doctor,Commerce,Banker
354,58,1,1,0,0,0,0,Teacher,Science,Pharmacist
355,72,1,0,0,0,0,0,Doctor,Science,Software Engineer
356,52,0,1,0,1,1,1,Teacher,Arts,Historian
357,80,0,0,0,0,0,0,Teacher,Science,Data Scientist
358,50,0,0,1,0,0,0,Engineer,Commerce,Business Analyst
359,75,0,0,1,0,1,1,Doctor,Commerce,CA
360,57,1,0,1,1,0,0,Engineer,Commerce,Banker
361,90,1,0,1,1,0,0,Engineer,Commerce,Accountant
362,72,0,0,0,1,1,0,Business,Commerce,Business Analyst
363,63,1,1,1,1,0,0,Teacher,Commerce,Accountant
364,64,1,0,0,0,1,0,Doctor,Arts,Historian
365,77,0,0,0,1,1,1,Doctor,Arts,Journalist
366,83,1,0,0,1,1,0,Teacher,Arts,Journalist
367,57,0,1,0,1,1,0,Artist,Arts,Psychologist
368,82,1,1,0,1,0,0,Engineer,Arts,Historian
369,52,0,1,0,0,0,0,Business,Commerce,Business Analyst
370,75,0,1,0,1,0,1,Business,Commerce,Accountant
371,62,0,0,0,1,1,0,Artist,Arts,Historian
372,97,0,0,1,1,1,0,Teacher,Commerce,Banker
373,60,1,0,1,1,1,1,Teacher,Commerce,CA
374,83,1,0,0,1,1,1,Doctor,Arts,Psychologist
375,75,1,1,0,1,0,0,Teacher,Commerce,Banker
376,55,0,0,0,1,0,1,Artist,Arts,Journalist
377,63,1,0,1,0,0,0,Teacher,Commerce,Business Analyst
378,72,1,1,0,1,1,1,Engineer,Arts,Psychologist
379,96,1,0,1,0,0,0,Artist,Commerce,Banker
380,65,0,1,0,1,0,1,Business,Commerce,Banker
381,68,0,0,1,0,0,0,Artist,Commerce,Accountant
382,60,1,0,0,1,1,1,Teacher,Arts,Historian
383,68,1,1,1,0,0,0,Doctor,Commerce,Accountant
384,83,0,1,1,1,0,1,Teacher,Commerce,Banker
385,51,0,1,1,1,0,1,Teacher,Commerce,Business Analyst
386,52,0,1,1,1,1,0,Business,Commerce,Accountant
387,66,1,0,1,1,1,1,Teacher,Commerce,CA
388,82,1,1,0,0,0,1,Doctor,Arts,Historian
389,64,1,1,0,1,0,1,Teacher,Arts,Psychologist
390,93,1,1,1,1,0,0,Teacher,Science,Data Scientist
391,91,0,1,0,0,1,0,Business,Commerce,CA
392,77,0,1,0,1,0,1,Business,Commerce,Accountant
393,70,1,0,1,0,1,1,Engineer,Commerce,Accountant
394,93,1,0,0,0,1,1,Engineer,Arts,Psychologist
395,73,1,1,0,0,0,1,Doctor,Arts,Designer
396,59,1,1,1,1,1,0,Doctor,Commerce,Accountant
397,56,1,1,1,0,0,1,Artist,Commerce,Business Analyst
398,62,0,0,1,0,0,1,Engineer,Commerce,Accountant
399,64,1,0,0,1,1,0,Teacher,Arts,Historian
400,85,0,0,0,0,0,0,Artist,Arts,Journalist
401,51,1,0,1,1,0,1,Engineer,Commerce,Banker
402,77,0,1,1,0,1,1,Doctor,Commerce,Accountant
403,74,1,1,0,0,1,0,Engineer,Arts,Psychologist
404,79,1,0,0,1,1,0,Artist,Arts,Designer
405,71,0,0,0,0,0,1,Artist,Arts,Designer
406,58,0,0,0,0,0,0,Business,Commerce,CA
407,71,1,1,0,1,0,1,Business,Commerce,Accountant
408,75,0,0,1,1,1,1,Teacher,Commerce,Banker
409,91,1,1,1,1,0,0,Teacher,Science,Software Engineer
410,78,0,0,1,0,0,1,Engineer,Commerce,Banker
411,84,0,0,0,1,1,0,Engineer,Arts,Psychologist
412,65,0,1,1,1,1,1,Teacher,Commerce,Accountant
413,69,1,1,1,1,0,1,Engineer,Commerce,Business Analyst
414,50,1,0,0,0,1,1,Teacher,Arts,Historian
415,55,1,0,1,1,1,1,Doctor,Commerce,Business Analyst
416,73,1,1,1,0,0,1,Teacher,Commerce,Business Analyst
417,83,1,1,0,0,1,0,Teacher,Arts,Psychologist
418,76,1,1,1,0,0,1,Teacher,Commerce,CA
419,69,0,0,1,0,1,1,Engineer,Commerce,Banker
420,52,0,0,1,1,1,1,Artist,Commerce,CA
421,73,1,0,1,1,1,1,Engineer,Commerce,Business Analyst
422,60,1,0,0,1,1,0,Doctor,Arts,Historian
423,61,1,0,1,1,1,0,Teacher,Commerce,Banker
424,94,0,1,0,0,0,1,Doctor,Arts,Historian
425,79,0,0,0,1,0,1,Business,Commerce,Banker
426,85,1,0,0,1,1,1,Teacher,Arts,Journalist
427,67,0,0,1,1,1,0,Business,Commerce,CA
428,81,0,1,0,0,1,0,Artist,Arts,Journalist
429,66,0,1,1,1,1,1,Teacher,Commerce,Business Analyst
430,86,0,0,1,1,0,1,Teacher,Commerce,Business Analyst
431,56,0,1,1,1,1,1,Artist,Commerce,Banker
432,95,0,1,0,0,1,0,Business,Commerce,CA
433,77,0,0,0,1,0,0,Artist,Commerce,Accountant
434,62,1,0,1,0,0,0,Engineer,Commerce,Banker
435,60,0,0,1,0,0,0,Teacher,Commerce,Accountant
436,62,1,0,0,1,0,0,Teacher,Science,Data Scientist
437,82,1,0,1,1,1,1,Engineer,Commerce,Banker
438,87,1,1,0,0,1,1,Doctor,Science,Doctor
439,53,1,1,0,0,1,1,Business,Commerce,Accountant
440,93,0,1,0,0,0,1,Business,Commerce,Business Analyst
441,63,0,0,0,0,1,0,Engineer,Arts,Designer
442,51,0,1,0,1,1,1,Artist,Arts,Journalist
443,97,0,1,1,0,1,1,Doctor,Commerce,Business Analyst
444,90,1,1,1,1,0,1,Business,Science,Data Scientist
445,63,1,1,1,1,1,0,Teacher,Commerce,Business Analyst
446,66,0,0,1,1,0,0,Doctor,Commerce,Banker
447,68,1,1,0,0,0,0,Business,Commerce,Accountant
448,74,1,0,1,0,0,1,Teacher,Commerce,CA
449,72,1,1,0,0,1,1,Teacher,Arts,Psychologist
450,92,1,0,1,0,1,1,Engineer,Commerce,Banker
451,87,1,1,1,1,1,1,Artist,Science,Doctor
452,57,1,0,1,1,0,1,Artist,Commerce,Accountant
453,84,1,1,0,1,0,0,Teacher,Arts,Journalist
454,71,0,0,0,1,1,1,Engineer,Arts,Historian
455,82,1,1,0,0,1,1,Engineer,Arts,Designer
456,56,1,0,0,1,1,1,Business,Commerce,Banker
457,71,0,1,1,1,0,1,Artist,Commerce,CA
458,64,0,0,0,0,1,0,Engineer,Arts,Psychologist
459,74,0,0,0,0,0,0,Teacher,Science,Pharmacist
460,97,1,1,0,0,0,1,Engineer,Science,Data Scientist
461,78,0,0,1,1,0,1,Teacher,Commerce,Accountant
462,82,0,1,1,1,1,0,Business,Commerce,Business Analyst
463,56,1,1,0,0,0,0,Business,Commerce,Business Analyst
464,65,1,0,0,1,1,1,Doctor,Arts,Designer
465,80,1,0,1,1,1,0,Artist,Commerce,CA
